ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037106648,3890,Sylmar,-118.4558345,34.2930983,44.93,83,80-85%,0.057,11.21,24,670.77,0,537.1,524.18,0.35,9.75,0.68,0,3,49.88,60.74,5.57,7.58,43.6,32.4,60,8,33.5,70.52,18.1,74.6,7.3,89.4,5.5,2.2,0.2,1.4,1.2,9,17,251729,108,Urban Villages
06037106649,2853,Sylmar,-118.4606541,34.2892618,35.16,69,65-70%,0.057,11.21,23.9,672.04,0,509.79,2936.33,0.1,1.5,0.37,0,10.25,54.27,59.37,4.12,7.37,21.8,4.9,26.2,15.3,17.9,50.72,14.1,76.8,9.1,63.9,9.6,3.7,0.3,21,1.5,7,14,275543,88,Pleasantville
06037107010,3247,Sylmar,-118.4467204,34.3020803,33.89,67,65-70%,0.06,11.21,11.21,670.44,0,586.67,726.92,0.35,3.75,0.66,0,0,42.53,59.89,4.19,7.45,44.6,15.4,46.6,13.3,23.7,62.38,14.7,77.2,8.1,91.5,6.1,0.4,0.1,1.6,0.2,7,14,172447,86,Urban Villages
06037107020,5404,Sylmar,-118.4504793,34.2975505,34.85,68,65-70%,0.06,11.21,18.48,672.85,0,569.18,556.19,0.5,3.75,0.87,0,0.75,45.42,59.2,4.83,7.3,35.4,10.3,36.7,9.8,29.5,60.08,17,77.3,5.7,85.3,5.6,1,0.4,6.4,1.3,7,14,352161,143,Urban Villages
06037108101,2230,Porter Ranch,-118.5416524,34.2793058,17.99,33,30-35%,0.06,10.37,14.74,618.05,0,373.87,2060.15,0,0,0.01,3,0,40.45,28.38,7.08,7.52,5.9,7.9,6.8,4.3,3.9,34.81,9,73.2,17.8,9.4,60.6,3.2,0.3,22.8,3.8,4,7,447766,80,Exurbanites
06037108102,3430,Porter Ranch,-118.5550665,34.2804584,20.14,39,35-40%,0.06,10.37,28.1,618.05,0,355.54,1929.15,0,0,0.12,0,0,43.74,28.38,6.21,7.52,3.8,9.4,19.2,4.2,10,36.04,8.5,72.2,19.3,9.7,54.8,1.8,0,31,2.6,4,8,437364,74,Pacific Heights
06037108103,3256,Porter Ranch,-118.5400017,34.2864236,19.48,37,35-40%,0.06,10.37,16.37,618.05,0,372.77,1677.69,0,0,0.1,3,0,42.73,25.75,12.04,6.28,4.1,10.7,4.9,7.5,7.1,35.7,8.2,75.6,16.2,8.9,56.8,1.5,0,29.9,2.9,4,8,616044,116,Top Tier
06037108104,1698,Porter Ranch,-118.5460083,34.2943135,14.99,25,25-30%,0.06,10.37,15.57,586.66,0,362.31,124.46,0,0,0.02,3,0,31.83,28.38,7.94,7.52,2.6,5.4,21.8,3.4,10.8,36.87,10.1,71.3,18.6,10.1,62.8,2.8,0.1,21.5,2.8,3,6,319951,52,Savvy Suburbanites
06037108201,5551,Porter Ranch,-118.564234,34.2868634,15.13,25,25-30%,0.06,10.37,34.7,618.05,0,343.32,794.12,0,0,0.11,3,0,43.7,27.09,3.82,7.04,5.5,12,8,4.4,15.4,27.11,13.4,75.1,11.5,7.3,41.6,2.1,0,45,3.9,3,6,868046,138,Professional Pride
06037109100,2492,Mission Hills,-118.4631511,34.2771693,29.67,59,55-60%,0.057,11.21,23.54,618.05,0,541.43,1896.14,0,0,0.1,0,20.75,50.55,50.8,4.79,4.66,25.2,12.6,37.5,9.9,12,45.95,10.8,62.4,26.8,57.4,29.2,2.7,0.2,9.6,0.9,6,12,260133,69,Urban Villages
06037109200,2669,Granada Hills,-118.4746272,34.277998,23.35,46,45-50%,0.057,11.21,22.91,619.52,0,507.27,1859.37,0,0,0.1,1,14,50.98,51.84,3.69,7.36,8.5,3.1,17,6.9,18.3,35.86,11,76,13,37.7,37.7,3.5,0.2,18.2,2.7,5,10,391136,104,Pleasantville
06037109300,3085,Granada Hills,-118.4804333,34.2711982,31.75,63,60-65%,0.057,11.21,22.91,618.05,0,507.42,2445.5,0,0,0,1,1.05,44.51,53.41,4.74,7.65,18.8,7.1,30.4,15.4,22.2,55.84,11,76,13,43.8,32.7,4.1,0.2,16.6,2.6,7,13,322876,100,Pleasantville
06037109400,3720,Mission Hills,-118.4556969,34.2687178,29.38,58,55-60%,0.057,11.21,24.09,618.05,0,581.16,1563.52,0,0,0,0,0,40.86,69.28,7.43,6.41,28.6,11.6,26.4,3.5,17,56.3,11.8,74.9,13.3,75,14,2.4,0.5,6.5,1.6,6,12,278922,106,Urban Villages
06037109500,4303,San Fernando,-118.4389293,34.2703268,48.84,88,85-90%,0.057,11.21,24.19,671.96,0,592.89,1713.93,22,10.5,0.4,0,3.8,60.41,61.07,6.61,4.97,37,19.2,45.5,7.1,29.3,63.3,15.2,74.9,9.9,92.6,3.1,0.9,0.1,2.4,0.8,9,18,275108,128,Urban Villages
06037109601,5020,Mission Hills,-118.4495333,34.2593157,30.79,61,60-65%,0.057,11.21,20.42,618.05,0,614.93,1645.3,0,0,0.06,0,0,41.94,61.6,6.43,5.82,27.3,8.6,27.3,10.2,19.3,57.47,13.2,75.5,11.3,70,15,2.9,0.1,10.2,1.6,7,13,392851,145,Urban Villages
06037109603,4252,Mission Hills,-118.4654157,34.2536518,33.04,65,65-70%,0.057,11.21,18.89,618.05,0,593.79,1979.56,0,0,0.1,0,0,42.95,57.23,6.44,5.51,28.6,14.7,29.7,12.5,19.5,60.22,12.9,76.5,10.6,64.9,17.9,4.5,0.3,10.8,1.6,7,14,340008,127,Urban Villages
06037109604,2975,Mission Hills,-118.4653518,34.2615445,26.19,52,50-55%,0.057,11.21,20.98,618.05,0,568.26,2131.01,0,0,0.01,0,0,41.3,74.19,4.9,6.9,22.3,9.7,25.4,7.6,12.2,49.63,12.5,75.8,11.7,60.5,23.8,3.9,0.1,9.7,2,6,11,285279,95,Urban Villages
06037109700,4493,Granada Hills,-118.4808881,34.2619343,28.1,56,55-60%,0.057,10.79,20.91,618.05,0,542.66,2663.59,0,0,0.01,1,0,41.48,48.53,5.88,6.8,13.5,7.3,30,9.2,22.1,53.02,12.1,74.7,13.2,42.1,35.3,2.7,0.3,16.9,2.7,6,12,488559,148,City Lights
06037109800,4565,North Hills,-118.4815974,34.2537115,26.37,53,50-55%,0.057,10.79,19.32,618.05,0,551.77,2396.64,0,0,0.06,0,0,41.17,59.29,5.95,6.77,18.4,5.3,30.2,3.2,20.1,50.15,11.5,75.5,13,46.2,33.3,3,0.4,14.7,2.5,6,11,605363,158,Pleasantville
06037111100,2982,Granada Hills,-118.4950694,34.2683099,26.29,52,50-55%,0.06,10.79,22.91,618.05,0,488.44,1698.57,0,3,0.1,1,0,45.01,53.41,4.35,7.65,10.1,8.2,20.6,7.3,22.8,45.74,12.7,74.1,13.2,39.2,39.3,3.5,0.1,15.4,2.5,6,11,354598,108,Pleasantville
06037111201,3410,Granada Hills,-118.5101489,34.2748338,28.13,56,55-60%,0.06,10.37,18.3,618.05,0,422.21,2736.24,0,3,0.1,3,0.3,46.65,50.9,4.68,7.36,14.9,7.5,21,11.3,15.7,47.2,9.3,74.7,16,29.2,49.9,2.7,0.1,14.7,3.3,6,12,447019,127,Pleasantville
06037111202,5213,Granada Hills,-118.5148271,34.2684432,26.23,52,50-55%,0.06,10.37,16.77,618.05,0,442.77,828.32,0,3,0.11,3,0.5,43.52,51.41,4.36,7.42,8.1,3.5,28.2,9.8,31.6,47.19,10.7,75,14.3,27.3,50.2,2.8,0.2,16.2,3.2,6,11,690117,185,Pleasantville
06037111204,5859,Porter Ranch,-118.5474393,34.2619679,17.45,32,30-35%,0.06,10.37,15.78,618.05,0,408.75,1434.47,0,0,0.1,3,0.5,43.63,32.27,4.93,7.27,5.4,2.9,11.6,5.3,16.8,31.31,8.5,72.7,18.8,14.9,58.8,3.8,0.1,19.7,2.7,4,7,1245093,201,Top Tier
06037111205,3375,Northridge,-118.5352005,34.2540547,25.97,52,50-55%,0.06,10.37,13.44,618.05,0,483.06,1333.56,0.25,3,0.1,3,5,48.25,39.34,4.38,7.36,5.4,8.4,25.1,7.5,26.1,42.14,9.2,75,15.8,18.1,41.4,4.6,0,32.5,3.4,6,11,436804,89,Pacific Heights
06037111206,4490,Porter Ranch,-118.5343557,34.2690645,20.75,40,40-45%,0.06,10.37,14.4,618.05,0,408.38,1890.39,0,3,0.12,3,5,49.42,25.4,5.12,6.27,6.7,6.4,13.5,5.5,20.8,32.87,9.6,71.2,19.2,20.7,56.9,3,0.2,16.3,2.9,5,9,719531,132,Pleasantville
06037111301,7087,Granada Hills,-118.5157706,34.261129,25.98,52,50-55%,0.06,10.37,15.31,618.05,0,482.4,1084.52,0,0,0.11,3,5,46.48,29.16,5.68,5.02,14.6,8.7,34.4,6.9,24.4,43.77,8.9,81.6,9.5,29.3,37.6,5.5,0.1,23.2,4.3,6,11,970612,202,Young and Restless
06037111302,4786,Northridge,-118.5128425,34.2539511,27.39,55,50-55%,0.06,10.37,15.4,618.05,0,502.95,1175.49,0.25,0,0.05,3,1.25,43.39,38.7,6.9,7.51,6.4,7.2,25.1,8.1,19.4,49.41,8.4,72.5,19.1,21.4,50.2,5.8,0.2,19.2,3.3,6,11,741543,175,City Lights
06037111400,7560,Granada Hills,-118.496182,34.2578116,28.33,57,55-60%,0.057,10.37,19.97,618.05,0,517.68,1053.64,0,0,0.01,0,0,37.46,50.36,6.08,6.77,15.6,21.1,26.9,9.2,27.3,59.22,11,74.2,14.8,32.1,41.3,3.3,0.1,20.5,2.7,6,12,883654,252,International Marketplace
06037113102,2828,Chatsworth,-118.5686167,34.2660306,24.54,49,45-50%,0.06,10.37,28.82,618.05,0.088,354.36,1715.09,11.65,0,0.08,0,0,48.6,34.83,8.33,6.55,4.5,0.5,15.5,8.4,17.3,39.53,6.6,72.6,20.8,13,66.8,3.3,0,13.8,3,5,10,585697,104,Top Tier
06037113301,2201,Northridge,-118.5583429,34.2440427,30.62,61,60-65%,0.06,10.37,19.61,618.05,0,472.13,1079.36,1.75,13,0.18,3,0,48.98,49.36,5.88,8,8.1,5.2,20.3,8.8,17,48.94,9.2,70,20.8,19.6,57.4,4,0.1,15.8,3.1,7,13,567935,86,Pacific Heights
06037113322,3947,Chatsworth,-118.5721382,34.2536788,22.81,45,40-45%,0.057,10.37,19.64,618.05,0,386.06,916.73,29.25,0,0.81,0,1.25,49.79,41.76,3.17,7.46,10.8,4.5,18.2,9.1,17.2,35.87,9.2,71.6,19.2,19.3,54.8,3.7,0.1,18.8,3.3,5,9,632932,139,Pleasantville
06037113401,5543,Winnetka,-118.5626938,34.2272273,35.99,70,65-70%,0.06,10.37,16.02,618.05,0,470.28,1209.16,5.25,28,1.02,3,0,53.22,47.69,5.57,8.02,17.5,19.8,23.8,8.6,12.6,52.93,11.5,74.2,14.3,40.3,36.1,3.6,0.1,17.2,2.7,7,14,805148,235,City Lights
06037115101,5046,Northridge,-118.5112305,34.2394391,16.35,29,25-30%,0.057,10.37,15.69,618.05,0,523.23,1262.19,1.4,0.3,0.04,0,1,41.29,47.45,3.23,9.08,6.5,3.2,6.7,8,6.2,30.99,7.8,71.1,21.1,17.8,64.8,3.9,0.2,10.7,2.6,3,6,1046408,186,Exurbanites
06037115103,2776,Northridge,-118.5274632,34.2438266,29.3,58,55-60%,0.06,10.37,13.44,618.05,0,500.4,1059.44,1,0,0.12,3,2.5,46.22,26.08,5.56,5.23,1.3,,74.2,31,,49.63,0.1,99.7,0.2,31.7,26.8,24.2,0.4,12.4,4.6,6,12,4853,114,Dorms to Diplomas
06037115104,4444,Northridge,-118.5226461,34.2374909,38.09,73,70-75%,0.057,10.37,13.44,618.05,0,508.11,1015.69,5.5,10.5,0.21,3,0.5,49.41,49.9,5.83,10.01,5.4,9.4,38.3,7.6,34,60.35,7.8,83,9.2,22.6,43.1,8.1,0.2,21.8,4.2,8,15,945399,156,Young and Restless
06037115201,6437,Northridge,-118.5382749,34.2441108,21.85,43,40-45%,0.06,10.37,13.44,618.05,0,489.9,1305.79,2.25,0,0.1,3,1.25,45.16,33.2,4.43,6.03,3.3,7.4,41,6.5,26.4,37.87,8.8,80.6,10.6,24.7,40.1,6.3,0.4,24.4,4.1,5,9,1068888,249,College Towns
06037115202,4828,Northridge,-118.5376549,34.2332349,35.16,69,65-70%,0.06,10.37,13.44,618.05,0,494.38,1516.2,12.5,27,1.05,3,0,54.95,45.03,5.23,8.18,6,5.8,32.7,7.7,27.1,50.09,10.2,80.7,9.1,33.2,36.6,6.3,0.3,20,3.6,7,14,604065,162,Trendsetters
06037115301,4156,Northridge,-118.548089,34.2422846,33.77,66,65-70%,0.06,10.37,13.44,618.05,0,481.65,1191.02,7,5,0.35,3,0.5,50.07,59.01,4.52,9.36,5.8,6.4,27.1,10,24.1,52.8,8,71,21,17.5,55.6,4.4,0.2,18.8,3.4,7,14,732107,151,City Lights
06037115302,4351,Northridge,-118.5503049,34.2259651,40.89,77,75-80%,0.06,10.37,12.86,618.05,0,479.01,1418.22,7.1,3.5,0.42,3,0,48.67,55.72,4.14,8.81,35.2,26.1,57.7,9.8,31.7,65.78,17.3,77.3,5.4,79.4,10.8,1.6,0.1,6.9,1.2,8,16,250890,141,Las Casas
06037115401,5776,Northridge,-118.515127,34.2248079,36.95,72,70-75%,0.06,10.37,17.43,618.05,0,539.24,1440.5,9.8,10.5,0.42,0,2.5,53.75,38.1,5.84,6.89,16.1,17.9,36.6,7.5,22.3,53.82,13.5,76.6,9.9,46.2,33.4,5.2,0.1,12.2,2.9,8,15,840231,230,International Marketplace
06037115403,3188,Northridge,-118.5317299,34.2247342,44.18,82,80-85%,0.06,10.37,12.62,618.05,0,500.16,1377,9.1,25,0.84,3,0,53.38,44.38,5.31,8.5,19.7,20.5,54.5,10.7,28.6,64.79,14.6,77.7,7.7,57.4,21.6,4,0.1,14.8,2.2,9,17,351224,132,International Marketplace
06037115404,2913,Northridge,-118.5416703,34.2255624,39.63,75,75-80%,0.06,10.37,12.59,618.05,0,488.66,1355.84,3.05,10.75,0.82,3,0,49.7,41.83,7.55,6.71,24.1,13.2,45,8,32.7,62.43,12.4,77.8,9.8,51.4,24.3,7.1,0.1,14.3,2.8,8,16,245950,100,International Marketplace
06037117101,4796,North Hills,-118.4621302,34.2391374,29.12,58,55-60%,0.057,11.21,18.6,618.05,0,627.1,842.61,0.1,0,0.02,0,0,38.27,74.68,4.21,8.4,25.3,21.7,32.9,12.7,14.7,59.58,14.8,78.8,6.4,45.6,10.3,5.2,0.1,37,1.8,6,12,596933,164,International Marketplace
06037117102,2631,North Hills,-118.4598237,34.2481946,28.47,57,55-60%,0.057,11.21,18.57,618.05,0,622.8,643.9,0,0,0.1,0,0,38.6,54.21,5.06,5.91,21.6,7.4,46.3,13,30.6,57.74,11.8,77.2,11,58.7,21.7,4.2,0.1,13.4,1.9,6,12,221013,76,Urban Villages
06037117201,4352,North Hills,-118.4700895,34.2426724,38.29,74,70-75%,0.057,11.21,19.32,618.05,0,608.21,2280.86,0,0,0.11,0,0,43.52,74.12,4.63,8.29,38.7,25.2,54.9,8.5,33.8,68.87,15.8,73.9,10.3,66.1,13.3,5.1,0.1,12.9,2.5,8,15,306324,148,Las Casas
06037117202,2471,North Hills,-118.4788675,34.2429124,34.78,68,65-70%,0.057,10.79,19.32,618.05,0,587.37,2614.32,0,3,0.15,0,0,44.59,80.01,7.95,9,13.6,6.1,23.7,10.7,10.6,61.07,10,75.6,14.4,36.9,31,4.5,0.1,25.2,2.3,7,14,320723,83,Pleasantville
06037117301,3851,North Hills,-118.4896512,34.2421587,21.16,41,40-45%,0.057,10.79,19.32,618.05,0,557.44,1047.36,0,3,0.1,0,0,41.31,80.01,3.45,9,6,0.4,13.9,9.6,15,40.09,11.4,74,14.6,32.5,45.2,5,0.2,14.4,2.7,5,9,474198,137,Pleasantville
06037117302,4914,North Hills,-118.4987424,34.238143,32.79,64,60-65%,0.057,10.37,20.35,618.05,0,555.78,1349.32,2,0,0.12,0,10,48.91,62.57,5.68,7.46,8.2,8.1,29.4,7,19.9,52.49,10.4,72.9,16.7,27.2,50,4.5,0.1,15.2,3,7,13,725386,177,Pleasantville
06037117303,3512,North Hills,-118.4912814,34.2281097,43.19,80,80-85%,0.057,10.37,22.72,618.05,0,604.24,1426.09,22,8.75,0.28,0,10,58.04,74.48,4.23,8.45,11.4,4.6,36.5,16.9,25.2,58.25,11,75.7,13.3,39.2,39.8,3,0.1,16,1.8,9,17,409250,130,Pleasantville
06037117404,4279,North Hills,-118.479077,34.2284788,42.4,79,75-80%,0.057,10.79,22.93,618.05,0,674.12,2842.66,14.3,8.75,0.26,0,0,53.25,67.06,5.26,7.71,17.9,9.8,30.3,12.5,28.2,62.33,9.4,78.2,12.4,39,36.5,4.9,0.1,16.9,2.6,8,16,515773,168,City Lights
06037117405,3442,North Hills,-118.4702311,34.2337312,43.7,81,80-85%,0.057,11.21,19.32,618.05,0,621.78,2276.89,0,0,0,0,0,40.48,80.01,6.18,9,51,24.7,78.9,14.7,41,84.5,23.1,74.9,2,90.6,3.3,3.6,0.1,1.6,0.8,9,17,176394,84,NeWest Residents
06037117407,3636,North Hills,-118.4703117,34.2301059,37.61,73,70-75%,0.057,11.21,19.32,618.05,0,637.69,2421.94,0,0,0,0,0,40.63,80.01,4.42,9,66.8,36.3,86.1,5.9,46.1,72.47,22.3,75.9,1.8,92.9,1.7,2.3,0,2.5,0.6,8,15,168260,96,NeWest Residents
06037117408,2830,North Hills,-118.4703709,34.2248464,39.51,75,75-80%,0.057,11.21,26.26,618.05,0,676.58,3088.87,0,1.5,0.04,0,0,44.73,48.2,5.17,5.82,44,27.3,76,18.1,39.9,69.15,18.5,77.7,3.8,82.5,7.1,4.6,0,4.2,1.6,8,16,204682,71,NeWest Residents
06037117510,4028,North Hills,-118.4621485,34.233678,36.2,70,70-75%,0.057,11.21,18.62,618.05,0,638.41,991.44,0.5,0,0,0,0,38.4,72.86,4.57,8.19,45.4,28.8,70.4,13.7,31.2,73.82,20.5,74.6,4.9,83.4,4.4,3.5,0,7.8,0.9,8,15,174416,128,Las Casas
06037117520,4052,North Hills,-118.4621861,34.2300853,39.34,75,70-75%,0.057,11.21,18.58,618.05,0,646.82,789.49,0.5,0,0,0,0,37.34,80.01,5.84,9,42.9,21.3,75.9,15.2,38,82.48,21.2,76.6,2.2,86,3.8,4.1,0.1,5.2,0.8,8,15,277519,105,NeWest Residents
06037117530,5641,North Hills,-118.4643776,34.2264373,36.69,71,70-75%,0.057,11.21,20.1,618.05,0,663.44,1181.47,0.75,0,0.01,0,0,40.34,58.81,5.33,6.64,41.7,28.4,66.6,14,31.7,71.2,17.7,77,5.3,75,5.1,3.1,0.1,15.4,1.3,8,15,328062,192,Las Casas
06037119001,4038,Pacoima,-118.4203143,34.2351095,47.33,86,85-90%,0.055,11.21,22.23,618.05,0,919.34,3627.93,13,3,0.21,4,2.5,59.33,68.45,8.49,7.17,31.4,7.2,21.5,8.8,21.5,62.45,12.2,78.2,9.6,70.5,9.7,0.8,0.2,16.9,2,9,18,238610,112,Urban Villages
06037119002,7210,Pacoima,-118.4275349,34.2469249,43.41,81,80-85%,0.055,11.21,19.03,618.05,0,745.51,3457.35,6,2.5,0.15,4,0.2,52.49,73.79,4.28,7.7,45.7,20.1,40.9,9.3,32.8,64.75,14.2,77.3,8.5,86.5,5.3,0.5,0.1,6.8,0.8,9,17,429944,205,Urban Villages
06037119201,4137,Pacoima,-118.440639,34.2462338,27.17,54,50-55%,0.057,11.21,18.43,618.05,0,666.23,854.72,0,0,0.02,0,0,38.22,70.5,4.2,7.37,40.7,11.2,41.8,7.8,18.7,55.66,14.2,77.9,7.9,86.4,6.4,1.1,0.2,5.3,0.6,6,11,251250,108,Urban Villages
06037119202,4707,Pacoima,-118.4424803,34.2547197,36.24,70,70-75%,0.057,11.21,18.56,618.05,0,650,2245.45,0,0,0.1,0,0,43.18,66.23,4.53,6.93,39.7,16.7,56.5,16.1,23.2,65.71,15.5,76.5,8,89,5,1.5,0.1,3.8,0.7,8,15,254645,128,Urban Villages
06037119310,3871,Panorama City,-118.4516702,34.2450202,24.72,49,45-50%,0.057,11.21,18.43,618.05,0,642.61,699.71,0,0,0.01,0,0,36.69,48.29,3.92,5.26,32.3,14.8,50.3,17.1,18.9,52.74,13.6,73.3,13.1,68.9,11,4.2,0.1,14.5,1.3,5,10,295656,136,International Marketplace
06037119320,4694,Panorama City,-118.4547256,34.2369427,41.05,77,75-80%,0.057,11.21,18.43,618.05,0,645.39,1004.82,0.1,0,0,0,0,37.98,90.75,6.5,10.08,43.1,26.1,58.3,12.4,33.9,84.6,17.3,77.7,5,69.6,6.8,4.3,0.1,17.7,1.5,8,16,255616,160,Las Casas
06037119340,3884,Panorama City,-118.4519009,34.233609,44.93,83,80-85%,0.057,11.21,18.43,618.05,0,666.39,1221.31,0.5,0,0,0,0,39.2,95.94,6.65,10.65,57.9,30.8,77.5,14.4,35.5,89.73,22.5,75.4,2.1,94.1,2.2,2,0,1.3,0.4,9,17,177737,92,NeWest Residents
06037119341,2719,Panorama City,-118.4458757,34.2371667,27.74,55,55-60%,0.057,11.21,18.43,618.05,0,670.45,973.63,0.1,0,0,0,0,37.89,58.02,4.41,6.35,32.2,23.9,58.8,8.6,20.1,57.31,12.1,78.9,9,54.6,9.6,3.5,0,30.4,1.9,6,12,229371,108,International Marketplace
06037119342,3180,Panorama City,-118.4472671,34.2407688,38.58,74,70-75%,0.057,11.21,18.43,618.05,0,656.69,780.1,0,0,0,0,0,36.7,72.93,8.26,8.04,42.7,20.9,62.9,14.6,37.5,82.31,17.1,78.6,4.3,80.2,4.7,3.5,0.3,10,1.2,8,15,153068,110,Las Casas
06037119400,4987,Pacoima,-118.4353682,34.2378874,35.21,69,65-70%,0.057,11.21,18.43,618.05,0,691.19,957.63,0,0,0.01,0,0,38.3,69.56,6.9,7.28,51.1,12.4,39.8,17.2,20,71.97,13.7,78.1,8.2,81.8,7.7,1.3,0.3,7.6,1.3,7,14,303821,134,Urban Villages
06037119700,5045,Panorama City,-118.4257669,34.2207731,38.45,74,70-75%,0.055,11.21,18.28,618.05,0,914.81,1093.93,7.5,3.5,2.62,4,1.25,55.24,77.01,3.53,8.53,25.1,21.4,24.8,7.2,20.1,54.49,11.8,74.7,13.5,47.4,26.8,1.5,0.2,22.4,1.8,8,15,363089,126,Urban Villages
06037119800,6108,Pacoima,-118.4291943,34.2329132,32.05,63,60-65%,0.055,11.21,18.43,618.05,0,776.41,966.95,6,0,0.01,4,0.2,45.15,69.74,4.03,7.3,36.5,13.6,34.9,8.6,20.2,55.57,13.2,78.2,8.6,78.2,8.9,1,0.1,11.1,0.7,7,13,357435,165,Urban Villages
06037119900,4940,Panorama City,-118.4412802,34.2278369,35.49,69,65-70%,0.055,11.21,18.36,618.05,0,708.31,1466.24,0.45,0,0.01,0,0,39.9,85.98,6.07,9.52,32.9,8.9,32.5,8.7,25.2,69.63,13.5,77.4,9.1,64,11.7,1.3,0.1,21.3,1.6,7,14,319112,135,Urban Villages
06037120010,2844,Panorama City,-118.4622655,34.2191995,45.46,84,80-85%,0.057,11.21,19.11,618.05,0,678.9,1338.41,1.65,0,0.06,0,3.75,46.98,83.87,5,9.43,36,16.5,54.7,14.5,31,75.74,14.6,78.8,6.6,77.9,7.7,2.1,0.1,10.1,2.2,9,17,163859,96,Las Casas
06037120020,4057,Panorama City,-118.4548516,34.2188235,57.37,95,90-95%,0.057,11.21,18.09,618.05,0,681.28,1384.37,9.25,0,1.12,0,10,54.82,81.11,5.92,9.22,42.1,28.1,69.7,13.4,31.1,81.94,16.1,78.5,5.4,76.4,5,2.1,0.3,15.2,1.1,10,19,182568,136,Las Casas
06037120030,2675,Panorama City,-118.451843,34.2152447,51.35,90,90-95%,0.055,11.21,18.09,618.05,0,687.01,1318.46,9.25,0,0.61,0,7.5,53.49,95.94,2.14,10.65,49.7,35.4,79.2,13.8,33.3,75.15,20.2,76.5,3.3,92.8,2.7,0.3,0,3.8,0.3,10,19,96908,94,Las Casas
06037120103,3287,Panorama City,-118.4517984,34.2297196,42.58,80,75-80%,0.057,11.21,18.43,618.05,0,664,722.3,0.6,0,0,0,0,36.96,95.94,6.82,10.65,55.2,38.2,90.1,12.8,43.3,90.18,22.5,75.6,1.9,91.9,2.3,2.9,0,2.3,0.6,8,16,140170,78,NeWest Residents
06037120104,2310,Panorama City,-118.4493666,34.223963,42.17,79,75-80%,0.057,11.21,18.16,618.05,0,681.02,973.28,1.95,0,0.01,0,0,39.91,95.94,6.3,10.65,44,19.4,73.3,8.2,36.2,82.72,16.7,78.3,5,69.2,8,5.5,0.1,15.5,1.7,8,16,184686,90,International Marketplace
06037120105,2812,Panorama City,-118.4488025,34.2340798,41.35,78,75-80%,0.057,11.21,18.43,618.05,0,682.49,937.56,0.45,0,0,0,0,38.02,95.94,5.38,10.65,36.5,32.2,73.3,17.8,34.5,85.14,14.3,73.8,11.9,72.7,10,1.8,0.1,14.4,1.1,8,16,184984,102,Las Casas
06037120106,4417,Panorama City,-118.4563804,34.223102,41.99,79,75-80%,0.057,11.21,18.09,618.05,0,671.38,1609.53,1.25,0,0.01,0,0,41.32,83.35,4.49,9.26,48.7,34.3,71,19.9,38.4,79.56,19.3,75.2,5.5,77.6,4.7,2.1,0.1,14.2,1.3,8,16,268218,119,NeWest Residents
06037120107,3818,Panorama City,-118.4563804,34.226419,37.22,72,70-75%,0.057,11.21,18.4,618.05,0,671.86,608.3,1.35,0,0,0,0,36.83,89.39,4.8,9.93,46.6,34.3,80.8,10,40.8,79.11,22.9,72.5,4.6,85.8,5.3,2,0.1,5.3,1.4,8,15,215393,93,NeWest Residents
06037120108,4838,Panorama City,-118.4563783,34.2300529,42.62,80,75-80%,0.057,11.21,18.43,618.05,0,656.68,819.21,1,0,0,0,0,38.15,83.57,7.11,9.28,48.3,25.6,71.8,17.3,38.9,87.45,18,75.8,6.2,82.2,6.2,3.8,0.3,6.6,0.9,8,16,292262,156,Las Casas
06037120300,5531,Panorama City,-118.4408399,34.2152914,57.46,95,90-95%,0.055,11.21,18.09,618.05,0,814,1406.18,8.9,1,7.12,4,3.75,57.25,95.82,8.54,10.64,30.6,15.5,42.7,9,23.7,78.57,11.6,79.2,9.2,61.1,16.2,1.6,0.2,19.5,1.4,10,19,353770,156,Urban Villages
06037120400,6272,Panorama City,-118.4323396,34.2188821,48.14,87,85-90%,0.055,11.21,18.14,618.05,0,881.27,1249.86,1,3.5,5.04,4,0.5,52.38,84.58,4.23,9.36,27.9,20.3,54.6,14.5,30.9,71.95,13,76.3,10.7,56.7,17.7,2.8,0.2,20.6,2,9,18,512644,221,International Marketplace
06037121010,4989,Sun Valley,-118.403944,34.223913,54.83,93,90-95%,0.055,11.63,22.26,618.05,0.011,985.76,2253.97,12.75,3,0.16,4,3.5,59.97,63.98,6.09,9.39,38.3,18.9,50.2,6.8,27,71.57,12.3,77.4,10.3,62.6,24.1,1,0.3,10.5,1.5,10,19,338688,139,Urban Villages
