ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037101110,4731,Tujunga,-118.2929869,34.2594737,22.67,44,40-45%,0.055,11.21,4.58,618.05,0,879.16,655.58,0,0,0,0,0,31.63,43.41,3.44,10.81,19.7,11.6,41.6,8.8,29.7,56.12,9.7,80.2,10.1,28,56.1,1.6,0.3,10.4,3.7,5,9,536150,176,City Lights
06037101122,3664,Tujunga,-118.2901465,34.2677213,11.88,17,15-20%,0.055,11.21,3.37,616.7,0,841.96,138.75,0,0,0,0,0,26.74,35.97,5.05,8.87,4.6,2.9,7.5,8.2,10.1,34.77,9.6,77,13.4,15.7,66.5,0.7,0.1,13.5,3.4,2,4,633405,132,Pleasantville
06037101210,5990,Tujunga,-118.2907309,34.2529724,28.88,58,55-60%,0.053,11.21,7.33,618.05,0,904.57,1042.22,0,0,0,0,0,34.18,43.41,4.89,10.81,22.8,22.1,55.6,9.5,26,66.16,13.6,77.9,8.5,37,48.2,3.1,0.1,7.5,4,6,12,590765,240,International Marketplace
06037101220,3363,Tujunga,-118.2816322,34.2516085,27.12,54,50-55%,0.053,11.21,9.08,618.05,0,994.57,1159.13,0,0.3,0,0,0,35.39,43.41,4.27,10.81,17.8,22.3,37.6,8,32.2,59.99,11.5,76.9,11.6,37.8,49.4,1.1,0.3,8.1,3.2,6,11,323757,119,City Lights
06037101300,4199,Tujunga,-118.2709988,34.2487776,19.06,36,35-40%,0.053,11.21,8.02,849.1,0,1058.42,1187.9,0,9.3,0,6,0,44.55,33.52,3.48,8.16,10.1,4.9,19.4,8.8,12,33.49,8.8,73.3,17.9,12,76,1,0.1,7.6,3.3,4,8,595894,142,Pleasantville
06037101400,3903,Tujunga,-118.2941635,34.2428534,26.62,53,50-55%,0.053,11.63,7.51,626.41,0,1009.1,1782.88,0,5.25,0,6,0,42.85,31.22,4.21,7.15,10.6,12.8,35.8,11.7,32.2,48.63,7.9,77.7,14.4,18.5,67.9,1.2,0.2,8.6,3.7,6,11,592248,146,City Lights
06037102103,1740,Sun Valley,-118.354188,34.2250793,27.13,54,50-55%,0.055,12.05,18.91,619.19,0,1110.39,1577.74,0.4,0.75,0.03,6,0,47.27,77.04,2.17,8.41,9.2,5,9,11.1,22.8,44.93,8.8,75.2,16,21.6,64,1.2,0.2,9.7,3.3,6,11,226724,72,Pleasantville
06037102104,3648,Sun Valley,-118.3454041,34.2161866,30.75,61,60-65%,0.055,12.05,38.89,697.73,0,1186.3,1923.71,13.1,25.2,0.3,6,0,65.12,38.17,4.12,5.42,9.3,9.4,17.1,11.4,17.5,36.96,8.8,76.8,14.4,14.6,66.8,2.4,0.1,13,3.2,7,13,502097,132,Pleasantville
06037102105,1731,Burbank,-118.3492638,34.2098714,29.2,58,55-60%,0.055,12.05,41.37,688.36,0,1224.4,1640.68,12.7,62.6,0.66,6,0,66.65,31.99,2.76,4.22,25.9,3.8,40.1,11.4,17.5,34.3,11.2,79.2,9.6,65.6,23.9,0.9,0.1,8,1.5,6,12,192508,63,International Marketplace
06037102107,3851,Sunland,-118.3395158,34.2409055,33.06,65,65-70%,0.055,11.63,12.06,658.09,0,1002.09,1255.63,2,0.3,0.44,6,6.75,53.95,47.76,5.11,6.52,11.9,3.4,35.4,7.3,32.5,47.97,8.9,70.9,20.2,27,60,2.6,0.4,7.6,2.4,7,14,549419,140,City Lights
06037103101,2670,Sunland,-118.3078874,34.2732407,15.24,26,25-30%,0.055,11.21,4.09,614.63,0,825.51,166.61,0,0,0,0,0,26.97,40.3,3.8,9.55,10.4,3.2,25.9,9.7,21,44.23,9.6,78.3,12.1,21.2,66,0.7,0.3,9,2.8,3,6,360219,102,Pleasantville
06037103102,4751,Sunland,-118.3073883,34.2633843,22.47,44,40-45%,0.055,11.21,4.09,618.05,0,872.39,768.89,0,0,0,0,0,32.28,41.09,6.29,9.68,12.5,9.4,19.2,11.5,12,54.49,10.2,77.5,12.3,28.4,55.7,0.6,0.3,12.4,2.6,5,9,550041,164,Pleasantville
