ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037134001,3765,Canoga Park,-118.5917267,34.2029146,40.87,77,75-80%,0.057,10.37,14.32,618.05,0.014,396.41,1156.52,0.65,3.5,0.15,2,1.5,46.43,5.72,45.7,5.65,7.16,48.9,30,61.9,9.5,38.8,7.15,16.2,78.4,5.4,75.4,8.9,2.7,0,12.1,0.9,8,16,190930,119,Las Casas
06037134002,3372,Winnetka,-118.5855271,34.2026924,36.56,71,70-75%,0.057,10.37,14.32,618.05,0.058,404.28,1108.01,0.25,1.5,0.11,2,0.2,43.11,5.31,63.65,3.8,11.42,33.4,19.5,48.7,9.7,24,6.88,14,77.6,8.4,61,18.2,3.1,0.3,15.3,2.1,8,15,385306,129,International Marketplace
06037134103,4193,Winnetka,-118.5814401,34.2185595,34.71,68,65-70%,0.057,10.37,14.32,618.05,0,420.58,1204.8,0,3.75,0,2,0,39.02,4.81,63.65,8.03,11.42,22.5,11.3,35.1,5.8,22.5,7.22,12.5,73.6,13.9,42,33.5,4.7,0.1,17.7,2,7,14,359988,129,Urban Villages
06037134201,4270,Canoga Park,-118.5912335,34.2139885,29.66,59,55-60%,0.057,10.37,14.32,618.05,0,395.29,1276.03,1.5,15.3,0.1,2,4,50.49,6.22,48.45,4.92,7.67,23.7,,24.8,4.9,18.2,4.77,15,75.2,9.8,54.5,27.6,2.5,0.1,13.5,1.8,6,12,490672,148,Las Casas
06037134302,3732,Canoga Park,-118.6209257,34.2136956,26.67,53,50-55%,0.057,10.37,10.42,618.05,0,354.21,801.14,4.5,17.5,0.5,2,0,46.32,5.71,62.27,3.85,9.16,7.6,5.1,20.4,10.5,13.8,4.67,11.2,74.9,13.9,22.8,54.4,2.9,0.1,15.3,4.4,6,11,451374,132,Pleasantville
06037134303,5057,Canoga Park,-118.611899,34.203248,34.68,68,65-70%,0.057,10.37,10.42,618.05,9.782,373.64,1003.75,0.4,21.5,0.12,2,1,51.42,6.33,45.23,5.54,7.3,21.4,6.5,25.5,9.8,21.4,5.48,11.9,74.6,13.5,35.3,42.4,3,0.2,15.6,3.6,7,14,683942,169,Pleasantville
06037134304,2882,Canoga Park,-118.6102868,34.213933,32.82,65,60-65%,0.057,10.37,10.42,618.05,0,365.97,1105.02,0.2,9.25,0.06,2,0.7,42.11,5.19,51.56,6.15,7.62,13.6,14,36.5,10,23.8,6.33,11.7,68.8,19.5,28.3,46,4.1,0.2,18.6,2.7,7,13,391664,104,Pleasantville
06037134305,3847,Canoga Park,-118.6016952,34.217634,40.5,77,75-80%,0.057,10.37,10.42,618.05,0,374,1066.27,1,6.75,0.05,0,0.5,40.24,4.96,62.27,5.81,9.16,53.6,38.5,70.9,10.7,31.3,8.17,18.6,77.4,4,77.6,8.6,2.7,0,10.1,1.1,8,16,247305,104,NeWest Residents
06037134306,3498,Canoga Park,-118.6017021,34.2119148,27.38,55,50-55%,0.057,10.37,10.63,618.05,0,377.56,1195.52,0.35,12,0.02,2,4,45.42,5.59,33.3,4.96,5,10.9,15.2,36.6,13.5,21.3,4.89,15.2,75.7,9.1,44.5,26.6,8.2,0.5,17.5,2.7,6,11,383786,125,International Marketplace
06037134421,3941,West Hills,-118.64714,34.202023,6.38,5,5-10%,0.055,10.37,4.51,618.05,0,335.56,364.93,0,0.3,0,2,0,28.24,3.48,34.99,2.98,6.15,4.6,2.6,10.1,4.3,9.7,1.83,11.6,71.3,17.1,8.4,73.6,1.7,0.1,11.8,4.4,1,2,716070,122,Savvy Suburbanites
06037134422,4684,West Hills,-118.6306683,34.2024601,20.27,39,35-40%,0.057,10.37,10.42,618.05,1.564,356.37,793.77,0,10.3,0,2,0,41.32,5.09,34.48,7.17,5.94,6.1,6.8,15.1,6.2,13.8,3.98,11.1,73.4,15.5,16,61.7,3.5,0,16,2.8,4,8,769129,171,Pleasantville
06037134423,3414,Canoga Park,-118.6341913,34.2138397,21.2,41,40-45%,0.057,10.37,10.4,618.05,0,338.47,462.81,5,14.5,0.12,2,0,41.24,5.08,56.87,3.45,8.43,2.7,4.6,14.7,10.5,19.1,4.17,9.8,71.5,18.7,12.3,67.4,2.5,0.1,14.4,3.3,5,9,531346,119,Pleasantville
06037134424,2887,Canoga Park,-118.6565649,34.2135699,13.02,20,20-25%,0.055,9.96,2.73,577.84,0,180.92,282.62,1,0,0,1,0,24.53,3.02,52.49,8.22,7.85,2.2,1.6,4.4,9.4,6.6,4.31,8.9,79.4,11.7,6.7,71.5,1.7,0,16.5,3.6,3,5,598541,101,Top Tier
06037134520,5453,Canoga Park,-118.59964,34.198294,43.63,81,80-85%,0.057,10.37,12.22,618.05,0,392.41,1033.14,2.5,27,0.46,2,0.5,49.49,6.1,63.55,4.91,9.76,37,31.1,54.5,6.3,27.8,7.16,16.2,76.5,7.3,72.8,14.6,2.8,0.2,7.7,2,9,17,451403,182,International Marketplace
06037134521,3126,Canoga Park,-118.5952099,34.2046284,41.54,78,75-80%,0.057,10.37,14.32,618.05,0,392.66,1174.18,0,4.5,0,2,3,43.19,5.32,60.99,5.96,9.36,47.4,46.7,66.6,5.5,43.3,7.81,18.9,78.9,2.2,90.2,5.2,0.8,0.1,2.8,0.9,8,16,222717,90,NeWest Residents
