OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
250,78,66,55,70,0,60,61,44.2,48,56,72,72,13,12.9,49.9,37.1,7.8,2.2,4510.16613,1170343.527
251,78,69,66,70,0,61,6,54.05,62,93,61,76,11.7,9.8,51.7,38.1,4.8,2.6,4568.733491,747787.661
252,78,69,83,70,0,61,0,33.69,31,47,57,47,10.3,13.6,33.3,55.3,4.8,2.4,6756.694494,2242038.14
253,78,66,78,70,0,61,0,57.53,66,96,59,74,11.3,12.8,38,49.9,6.3,2.6,5243.771109,1363219.674
254,78,82,80,70,0,61,4,50.18,56,68,40,46,11.5,13.3,29.5,56.7,7.9,2.8,4830.390381,1394304.356
255,78,82,82,70,0,62,22,39.61,41,50,46,56,11.1,10.9,27,60.4,5.2,2.7,6450.713662,1884366.213
256,78,82,78,70,0,62,29,65.25,75,89,69,66,12.6,8.5,54.7,33.3,5.4,2.1,5554.019919,1895957.618
257,74,82,83,70,12,62,9,33.01,30,31,25,37,9.8,10,29.6,51.3,10.8,3.2,4329.634539,974489.548
258,74,82,83,70,0,62,0,38.37,39,53,21,20,10.8,14.4,12.1,76.5,4.4,3.4,6163.78075,1978068.37
259,74,82,82,70,12,63,36,55.11,63,58,64,69,12.4,6.7,53.2,31.6,6.3,3.1,3904.879704,951984.5125
260,78,82,67,70,0,62,33,70.64,79,93,91,88,14.9,7.2,75,18.3,3.6,1.2,2921.414842,474529.1959
261,78,82,83,70,0,62,2,70.64,79,93,76,82,13.1,8.8,60.3,27.1,3.5,2.2,2921.77536,475891.4363
262,78,82,83,70,0,62,2,35.62,35,26,73,83,14.6,6,60.3,29.2,4.2,2.1,2922.431635,475661.381
263,78,82,86,70,0,63,47,58.36,67,80,70,38,11.5,10.4,57.9,30.6,6.9,2.1,4865.619919,1423738.333
264,74,82,76,70,2,63,24,54.84,63,58,84,77,14.5,5.8,75.7,16.2,3.8,1.5,2934.212855,477470.4842
265,74,82,76,70,3,63,50,57.11,66,62,72,84,12.8,4.8,63.9,23.2,5.7,2.3,2924.720873,475152.9867
266,74,82,76,81,0,63,36,42.55,46,35,81,56,13.1,8.3,69.6,22,4.4,1.3,4631.58902,1306788.265
267,74,82,83,70,0,62,2,34.51,33,43,46,44,13.9,12.7,19.6,71.1,3.5,2.3,4860.619056,1426845.74
268,74,69,78,70,0,61,0,57.53,66,96,28,37,9.9,12.8,22.5,63.8,6.6,3.3,5180.643118,1180672.693
269,74,69,78,70,0,61,37,32.59,30,72,10,35,11.6,13.3,15.5,69,7.7,3.3,5276.574696,1641831.652
270,74,69,83,70,0,61,4,18.92,7,15,20,28,10.2,13.7,12.7,73.3,6,2.9,6574.018435,1993776.869
271,74,82,83,70,1,62,0,40.81,43,58,35,58,9.5,17.5,24.5,57.8,7.4,3.4,2959.895233,492752.4738
272,74,82,83,70,0,62,0,40.81,43,58,38,58,7.3,11.5,20.5,64.3,4.6,4.1,2889.812097,458159.9836
273,74,82,83,70,11,62,6,31.61,28,27,35,51,9.3,8.8,19.4,64.4,5.7,3.5,5852.080733,1898592.114
274,74,82,82,70,11,63,52,42.28,45,34,50,49,9.6,8.1,30,54.5,6.2,3.5,5851.323271,1904898.475
